MP_15085_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-29;+++;Candida lusitaniae;36911;51e7f572-e278-4aa1-a478-b3c41f8de316;2.242;+++;Candida lusitaniae;36911;a746814c-e387-4a8a-8792-b6d609a9e99b;2.059;+++;Candida lusitaniae;36911;f5dbcfb4-5592-47c5-9c51-18a4c578b099;2.053;+++;Candida lusitaniae;36911;7b65273e-4436-464f-a868-8e18e7abfb1e;2.013;+++;Candida lusitaniae;36911;770138c7-a442-4022-916a-7a2311c1b6f0;01.febr;+++;Candida lusitaniae;36911;42b86540-2cd7-413d-aad2-ef1a86d67af8;01.febr;+;Candida lusitaniae;36911;328380e3-c752-4200-99f3-0a7839e1006f;1.933;+;Candida lusitaniae;36911;4a837c9f-8989-47e1-ae8c-2ffb6cb12fed;1.884;+;Candida lusitaniae;36911;5d8abb12-4259-4d6a-bdef-00935bc6f07d;1.87;+;Candida lusitaniae;36911;ce87d546-f6ee-4e19-ba54-962646d4546a;1.845
MP_15086_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-29;-;not reliable identification;E1;631e1d31-81bd-4f97-b16b-195a5e43cfa9;1.256;-;not reliable identification;E1;ca1716e8-06ca-43c7-ac9e-a938a0d138f8;1.143;-;not reliable identification;E1;8309b352-3e1e-4f8c-a9c2-c81ba6150315;1.136;-;not reliable identification;E1;ef67664d-ff79-432d-b455-6ac09153738a;43831;-;not reliable identification;E1;2f855544-ce1d-4698-a6ae-5d8cf843a39e;1.097;-;not reliable identification;E1;df184ceb-fbfa-4a12-bab7-2846eb67cdfe;1.091;-;not reliable identification;E1;c9f47094-7531-4847-a14e-e2fc6dad75ff;43839;-;not reliable identification;E1;36bee6eb-7a86-43e3-b293-d3e465e4d09a;1.067;-;not reliable identification;E1;3f402e73-bcef-40b1-9014-8a28878f12c5;1.057;-;not reliable identification;E1;c2c27398-e087-41d6-ba3c-dfb8a7f100ea;1.045
MP_15087_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-29;++;Purpureocillium lilacinum;33203;9d5cb414-3c36-4f76-9958-490fe9716cbd;2.268;++;Purpureocillium lilacinum;33203;a5d21508-1b97-47ca-a3b7-a6c6b015d386;2.209;++;Purpureocillium lilacinum;33203;fcab5b98-04ac-49ea-9de5-1c527c9e4793;2.198;++;Purpureocillium lilacinum;33203;69ea5608-85c9-4180-b76f-0ec5c74d08a1;2.183;-;not reliable identification;E1;9c925246-bf7e-403c-97ad-f043364ac0e3;1.247;-;not reliable identification;E1;e1befc12-f000-4b0b-9a75-ad5b7b5b7619;1.205;-;not reliable identification;E1;d44b0ddd-78fc-48e5-80c3-08291aaef29c;1.171;-;not reliable identification;E1;631e1d31-81bd-4f97-b16b-195a5e43cfa9;1.124;-;not reliable identification;E1;8ebe7763-8087-448d-99c5-7a63707a0ad0;1.111;-;not reliable identification;E1;2b6d077e-5b56-401d-b1f9-05972b7845d0;1.111
