MP_15303_ID1011026779;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-08-07;-;not reliable identification;E1;e78cf71e-11fb-466b-bb19-08bee204ab25;1.145;-;not reliable identification;E1;4d213bfc-bc56-426c-a693-c34e9ca03727;1.351;-;not reliable identification;E1;8a3c581c-36a8-459c-8a12-50a1898ed407;1.283;-;not reliable identification;E1;09ac655b-3f11-42cd-9cd3-5e599807ad39;1.282;-;not reliable identification;E1;173b4876-2075-4d33-b197-8fc7f52e26c0;1.276;-;not reliable identification;E1;98afbfff-c108-4318-85e6-ab2221b0e073;1.272;-;not reliable identification;E1;721ce60b-7a44-4416-be1a-e5979e4594a9;1.234;-;not reliable identification;E1;687e9f4b-2bba-406e-b089-14db8183ff00;1.232;-;not reliable identification;E1;a1835955-c10a-4cf8-8baf-11181c801724;1.217;-;not reliable identification;E1;7f56b519-45ff-4f8d-9c22-47f671d7a8b7;1.198
MP_15304_ID1011026779;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-08-07;+++;Candida lusitaniae;36911;42b86540-2cd7-413d-aad2-ef1a86d67af8;2.133;+++;Candida lusitaniae;36911;51e7f572-e278-4aa1-a478-b3c41f8de316;2.133;+++;Candida lusitaniae;36911;770138c7-a442-4022-916a-7a2311c1b6f0;2.043;+++;Candida lusitaniae;36911;4a837c9f-8989-47e1-ae8c-2ffb6cb12fed;2.029;+++;Candida lusitaniae;36911;a5de8b95-3963-4df0-ab59-037523546355;2.025;+++;Candida lusitaniae;36911;076fc423-464d-4685-93bb-479fa001dbac;2.002;+;Candida lusitaniae;36911;328380e3-c752-4200-99f3-0a7839e1006f;1.984;+;Candida lusitaniae;36911;093499cd-d74e-4ea1-9b91-53131aef003a;1.908;+;Candida lusitaniae;36911;f5dbcfb4-5592-47c5-9c51-18a4c578b099;1.898;+;Candida lusitaniae;36911;a746814c-e387-4a8a-8792-b6d609a9e99b;1.855
MP_15317_ID1011026779;L-492 - Szint III. 492. tisztatér_2020-08-07;-;not reliable identification;E1;c73ce856-8b37-410b-a592-cf8f701f9859;1.452;-;not reliable identification;E1;3c2e387a-5d37-43a1-9404-eddc93bac1f3;1.34;-;not reliable identification;E1;e6657ff8-e4e4-4f34-ae12-9f45f314a3ea;1.34;-;not reliable identification;E1;33c6938f-412b-4ade-92a2-009effce2d59;1.335;-;not reliable identification;E1;3cbc5c56-b8b2-4138-ab10-977a31258cc0;1.307;-;not reliable identification;E1;55d25c98-f32b-4ada-b1af-2c150ebab26b;1.293;-;not reliable identification;E1;c615d215-1196-4057-8466-36c7bad726ed;1.291;-;not reliable identification;E1;46a1d29e-e271-4f19-88c4-bffaa00e9ffb;1.258;-;not reliable identification;E1;24d0f453-5fa6-442b-9a2b-dc5166d1eba8;1.253;-;not reliable identification;E1;fa3d061f-e63c-408a-9c3e-4cca8bcc4e88;1.249
MP_15324_ID1011026779;L-492 - Szint III. 492. tisztatér_2020-08-07;+++;Aspergillus niger;5061;02d7516b-ed1d-45b2-a15d-42cda9fc3eee;2.373;+++;Aspergillus niger;5061;cc50111e-b51f-4838-9a7e-bc7cc87661d9;2.303;++;Aspergillus niger;5061;bd31a8e2-0436-4c8b-b5e3-8e3cfc9943a3;25.febr;++;Aspergillus niger;5061;b35af45e-f2ee-4fd0-99db-dbce08ebbe45;2.145;++;Aspergillus niger;5061;f65782cc-364a-4505-8bdb-59c1aaa0991c;11.febr;++;Aspergillus niger;5061;6bd697c6-279c-46f4-bdc6-af3cc257f363;2.086;++;Aspergillus niger;5061;f4ed845c-c250-49b5-9434-7f781d95a457;2.038;++;Aspergillus brasiliensis;319629;1a31b1bd-4160-49ca-9051-d8ad44dc1642;2.031;++;Aspergillus niger;5061;ea4758e5-3a9e-4fda-b735-75130242bbaf;2.003;+;Aspergillus niger;5061;bd577b09-dbb4-4b08-8ec3-046919cda459;1.99
