MP_15130_ID1011026779;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-30;-;not reliable identification;E1;4f0d1e97-59e7-4e8a-8697-3edb220f69a2;1.358;-;not reliable identification;E1;e75270b2-bc95-4880-b34d-ca0c1b6ffdb4;1.201;-;not reliable identification;E1;fa3d061f-e63c-408a-9c3e-4cca8bcc4e88;1.195;-;not reliable identification;E1;e78cf71e-11fb-466b-bb19-08bee204ab25;1.172;-;not reliable identification;E1;718f6b3e-d03e-4d11-bbf8-07d83a5c15e4;1.159;-;not reliable identification;E1;727cf339-3813-4349-bd5a-44e56b896857;1.151;-;not reliable identification;E1;c60ceb70-f486-40a7-abfe-3e076fac0f5e;1.144;-;not reliable identification;E1;b0d1a34b-83fe-4127-9017-0bf2cf067a45;1.114;-;not reliable identification;E1;3e668ddd-b3bd-48ed-808d-f5a9c7748c56;1.108;-;not reliable identification;E1;3ed7b43b-5ab8-40d1-9816-8ac84f353a97;1.107
MP_15151_ID1011026779;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-31;+++;Candida tropicalis;5482;45c7f009-33db-4380-ac3e-823a7099e955;2.457;+++;Candida tropicalis;5482;3c6e6187-dfff-4975-8c62-9e0a7b29618a;2.333;+++;Candida tropicalis;5482;fe14cd4a-e0e4-45c8-b830-a711ece3a53b;2.331;+++;Candida tropicalis;5482;77597a3d-f3e3-453b-ab87-91a069e7911f;03.febr;+++;Candida tropicalis;5482;1a347cbb-b2dc-4426-9b9f-7c1c43ecb67d;2.281;+++;Candida tropicalis;5482;75077425-01c7-4d90-ae9e-7e1de1fd69e9;2.226;+++;Candida tropicalis;5482;ec048cc0-6f79-4a26-ae4a-147c95c7ec3f;21.febr;+++;Candida tropicalis;5482;b639dbf0-7f59-4e39-bcd2-f916b31829f7;2.153;+++;Candida tropicalis;5482;83fef2f9-53b2-4a5f-85ad-b63fb15e553a;2.142;+++;Candida tropicalis;5482;762777f6-a374-4327-a70e-d3314497b728;2.132
MP_15161_ID1011026779;S-2 - SzintI. 2. tisztatér_2020-07-31;+++;Candida albicans;5476;a62cac3c-e498-49c0-a4bc-44a6853ebe3b;2.494;+++;Candida albicans;5476;acc1fb2c-8184-40f1-b458-78954c201a9d;04.febr;+++;Candida albicans;5476;6793a005-3b25-4228-b61d-dae76ea3a304;2.351;+++;Candida albicans_(africana);241526;181cdf7d-44db-464e-bdb6-fc791988c390;2.306;+++;Candida albicans;5476;58fb9020-4c9a-41d5-858c-bb6f70d5eadf;2.301;+++;Candida albicans;5476;129bd8b0-5001-4014-9d45-b2e831c2cd4d;03.febr;+++;Candida albicans;5476;038db6dd-d1fa-4a78-9a49-11bc2e8943a0;2.283;+++;Candida albicans;5476;3bf351d9-067b-4549-bccb-63a416b5a1d8;2.282;+++;Candida albicans;5476;95addba5-ce67-4379-9118-d4fe048a22fd;2.272;+++;Candida albicans;5476;0ae7193a-9bbf-4186-abf4-7dfb09083273;2.239
