G9;MP_15078_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-29;Asztal 008 tisztatér Középsõ asztal közepe_Tisztatér 008;EDT;TAMC
G10;MP_15079_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-29;Mérleg 008 tisztatér Mérleg tányér közepe_Tisztatér 008;EDT;TAMC
G11;MP_15080_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-29;Fal 008 tisztatér Anyagzsilip kilincse mellett 0,2m-re_Tisztatér 008;EDT;TAMC
G12;MP_15081_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-29;Kilincs 008  Anyagzsilip kilincse_Tisztatér 008;EDT;TAMC
H1;MP_15082_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-29;Padló 008 Öltözõ felöli ajtónál  0,5 m-re középen_Tisztatér 008;EDT;TAMC
H2;MP_15083_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-29;Anyagzsilip 007 Középen_Anyagzsilip 007;EDT;TAMC
H3;MP_15084_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-29;Anyagzsilip  007 Középen_Anyagzsilip 007;EDT;TAMC
H4;MP_15085_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-29;I. Box (R-709887) középen L_I. box;EDT;TYMC
H5;MP_15086_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-29;I. Box (R-709887) középen F_I. box;EDT;TYMC
H6;MP_15087_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-29;II. Box (R-712713) középen L_II. box;EDT;TYMC
H7;MP_15088_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-29;II. Box (R-712713) középen F_II. box;EDT;TAMC
H8;MP_15089_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-29;Tisztatér háttér 012 Középen_Tisztatér 012;EDT;TAMC
H9;MP_15090_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-29;Asztal 012 Középsõ asztal közepe_Tisztatér 012;EDT;TAMC
