D1;MP_12569_ID1011025858;2-NOR2-1 - Szteroid NOR2 1. tisztatér_2020-07-24;Mérleg Mérõfelület közepe_Gyártótér;EDT;TAMC
D2;MP_12570_ID1011025858;2-NOR2-1 - Szteroid NOR2 1. tisztatér_2020-07-24;Szûrõ szárító Külsõ gépfelület_Gyártótér;EDT;TAMC
D3;MP_12571_ID1011025858;2-NOR2-1 - Szteroid NOR2 1. tisztatér_2020-07-24;Zsilip Alsó felület közepe_Zsilip;EDT;TAMC
D4;MP_12572_ID1011025858;2-NOR2-1 - Szteroid NOR2 1. tisztatér_2020-07-24;Zsilip Alsó vízszintes felület közepén_Zsilip;EDT;TAMC
D5;MP_12573_ID1011025858;2-NOR2-1 - Szteroid NOR2 1. tisztatér_2020-07-24;Elõtér Helyiség közepe_Elõtér;EDT;TAMC
D6;MP_12574_ID1011025858;2-NOR2-1 - Szteroid NOR2 1. tisztatér_2020-07-24;Padló Gyártótéri ajtónál 0,5 m-re középen_Elõtér;EDT;TAMC
D7;MP_12575_ID1011025858;2-NOR2-1 - Szteroid NOR2 1. tisztatér_2020-07-24;Fal Gyártótéri ajtó mellett 0,2m-re 1 m magasan_Elõtér;EDT;TAMC
D8;MP_12576_ID1011025858;2-NOR2-1 - Szteroid NOR2 1. tisztatér_2020-07-24;Zuhany Helyiség közepe_Zuhany;EDT;TAMC
D9;MP_12577_ID1011025858;2-NOR2-1 - Szteroid NOR2 1. tisztatér_2020-07-24;Padló Csatornaszemnél_Zuhany;EDT;TAMC
D10;MP_12578_ID1011025858;2-NOR2-1 - Szteroid NOR2 1. tisztatér_2020-07-24;Fal Fehér ruhaváltó ajtó mellett 0,2 m-re 1 m magasan_Zuhany;EDT;TAMC
D11;MP_12579_ID1011025858;2-NOR2-1 - Szteroid NOR2 1. tisztatér_2020-07-24;Fehér ruhaváltó Helyiség közepe_Fehér ruhaváltó;EDT;TAMC
D12;MP_12580_ID1011025858;2-NOR2-1 - Szteroid NOR2 1. tisztatér_2020-07-24;Kilincs Elõtér felöli ajtó_Fehér ruhaváltó;EDT;TAMC
